epoch,accuracy,loss,val_accuracy,val_loss
0,0.211727112531662,1.7663345336914062,0.22507502138614655,1.7547938823699951
1,0.2827196419239044,1.7022451162338257,0.31488272547721863,1.6675872802734375
2,0.3384280502796173,1.6299484968185425,0.338001549243927,1.6040290594100952
3,0.3756009340286255,1.5615808963775635,0.3833500146865845,1.5352702140808105
4,0.4089389145374298,1.492725133895874,0.4164721667766571,1.4732682704925537
5,0.44360148906707764,1.4246193170547485,0.43681228160858154,1.4286845922470093
6,0.4798017740249634,1.3500292301177979,0.4886073172092438,1.344427227973938
7,0.5092214345932007,1.2836406230926514,0.4910525679588318,1.3259952068328857
8,0.5323699712753296,1.229901909828186,0.5237301588058472,1.24578857421875
9,0.5544532537460327,1.1793098449707031,0.541847288608551,1.201838493347168
10,0.5790375471115112,1.1257277727127075,0.5634100437164307,1.167697548866272
11,0.5967023372650146,1.0791409015655518,0.592308521270752,1.0933321714401245
12,0.6165346503257751,1.0336434841156006,0.6138712763786316,1.0461010932922363
13,0.6401185393333435,0.9782928824424744,0.6235411763191223,1.0092569589614868
14,0.6583854556083679,0.9352547526359558,0.6033121943473816,1.0599802732467651
15,0.6754758954048157,0.8962788581848145,0.6559964418411255,0.9328092932701111
16,0.6957991719245911,0.8485865592956543,0.6703345775604248,0.906010091304779
17,0.7042749524116516,0.8219335675239563,0.6872290968894958,0.8713468909263611
18,0.7219767570495605,0.7803861498832703,0.6257641315460205,1.0380311012268066
19,0.7324162721633911,0.7487027049064636,0.721684992313385,0.7944936752319336
20,0.7483581304550171,0.7130571603775024,0.7225741744041443,0.7828394770622253
21,0.7554351091384888,0.6877052187919617,0.7084583640098572,0.8158272504806519
22,0.768032968044281,0.6589303612709045,0.7097921371459961,0.787488579750061
23,0.7783057689666748,0.6359020471572876,0.7414693832397461,0.7369838953018188
24,0.790607213973999,0.6029710173606873,0.75958651304245,0.6803779006004333
25,0.7951924204826355,0.5879147052764893,0.7749249935150146,0.6406534314155579
26,0.8073827028274536,0.5587663054466248,0.7741469144821167,0.6406277418136597
27,0.8130054473876953,0.5402340888977051,0.7901522517204285,0.6047842502593994
28,0.8161548972129822,0.5292901992797852,0.7528064846992493,0.683219850063324
29,0.8284655809402466,0.5002370476722717,0.7833722233772278,0.6158889532089233
30,0.8406187891960144,0.47051841020584106,0.8103812336921692,0.554675817489624
31,0.8354129195213318,0.47742849588394165,0.7819272875785828,0.6072781682014465
32,0.848483145236969,0.449855238199234,0.8113815784454346,0.5512668490409851
33,0.8553378582000732,0.4313904941082001,0.8259419798851013,0.5108261704444885
34,0.8496966361999512,0.4389776587486267,0.8009336590766907,0.5553798079490662
35,0.8611365556716919,0.4169098138809204,0.7834833860397339,0.5972581505775452
36,0.8671298027038574,0.3984386920928955,0.8099366426467896,0.54678875207901
37,0.8704460263252258,0.39342209696769714,0.8570634722709656,0.4386076033115387
38,0.8711129426956177,0.38707447052001953,0.8198288083076477,0.5075092911720276
39,0.8755221962928772,0.3731711804866791,0.8274980783462524,0.4955346882343292
40,0.884414792060852,0.35674232244491577,0.8426142334938049,0.4573880434036255
41,0.8835347890853882,0.3588646948337555,0.8785150647163391,0.3829193115234375
42,0.8854522705078125,0.3499607443809509,0.8209403157234192,0.5044611692428589
43,0.8965216875076294,0.3240566551685333,0.8521729707717896,0.42967739701271057
44,0.8949933052062988,0.3274122178554535,0.8809603452682495,0.3673807680606842
45,0.8927794098854065,0.3326096534729004,0.8905190825462341,0.3417108952999115
46,0.8852762579917908,0.35115525126457214,0.8557296991348267,0.41988199949264526
47,0.8965124487876892,0.32701265811920166,0.8467267155647278,0.43743038177490234
48,0.9077300429344177,0.2962033748626709,0.815827488899231,0.49427348375320435
49,0.9057292342185974,0.29869842529296875,0.8609536290168762,0.40916240215301514
50,0.9039506912231445,0.3031647205352783,0.8797376751899719,0.37143054604530334
51,0.9039970636367798,0.3151143789291382,0.8841836452484131,0.350436270236969
52,0.9130749106407166,0.2787719666957855,0.8232744336128235,0.4822648763656616
53,0.9107961654663086,0.28216347098350525,0.8730688095092773,0.36763671040534973
54,0.9197536110877991,0.2656742334365845,0.8406135439872742,0.4451614022254944
55,0.894317090511322,0.3329832851886749,0.878403902053833,0.3729279339313507
56,0.9248575568199158,0.2541162669658661,0.9106369018554688,0.2971963584423065
57,0.9140290021896362,0.28735071420669556,0.8699566721916199,0.38907885551452637
58,0.9157982468605042,0.28584024310112,0.9047460556030273,0.30595293641090393
59,0.9163632988929749,0.2722807824611664,0.9004112482070923,0.3104747235774994
60,0.9220786690711975,0.2586613595485687,0.8573969006538391,0.40420597791671753
61,0.9251910448074341,0.2556515038013458,0.8450594544410706,0.41761526465415955
